v1,v2
ham,Airtel Thanks: Bill paid Rs.499.
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winUnion
spam,New Year reward ₹1000 from Jio. Claim gift link
spam,Electricity bill overdue Rs.Union. Pay now or power cut: pay.bill682.in http://secure-link854.in
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,OTP for Paytm login: 5719. Do not share.
ham,Your Google verification code is 82043. Never share.
ham,OTP for Paytm login: 95936. Do not share.
ham,Flipkart: Your package will arrive tomorrow.
spam,Amazon delivery failed. Call 1800SBI or order cancelled.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Amazon delivery failed. Call 1800Union or order cancelled. Urgent! Click now or lose access.
spam,Traffic challan Rs.HDFC. Pay or vehicle seized: paytm.me/ch245 Urgent! Click now or lose access.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Your Google verification code is 75946. Never share.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Amazon order #AMZ97348 delivered successfully. Rate now.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 Urgent! Click now or lose access.
spam,Papa accident. Transfer Rs.5000 urgently to this number.
spam,Papa accident. Transfer Rs.5000 urgently to this number. Urgent! Click now or lose access.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxUnion http://secure-link906.in
spam,KYC registration of random person detected on your number. Verify: link
spam,Income tax refund ₹25000 pending. Share PAN now bit.ly/urgent
ham,Flipkart: Your package will arrive tomorrow.
spam,"Dear customer, your HDFC account will be blocked today. Update KYC immediately: bit.ly/760. Do not ignore!"
spam,Papa accident. Transfer Rs.5000 urgently to this number. http://secure-link544.in
ham,Airtel Thanks: Bill paid Rs.499.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyUnion Urgent! Click now or lose access. http://secure-link668.in
ham,Amazon order #AMZ97133 delivered successfully. Rate now.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Electricity bill overdue Rs.Union. Pay now or power cut: pay.bill226.in http://secure-link291.in
ham,Airtel Thanks: Bill paid Rs.499.
ham,Your Google verification code is 17970. Never share.
spam,Electricity bill overdue Rs.SBI. Pay now or power cut: pay.bill885.in
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winAxis
ham,Flipkart: Your package will arrive tomorrow.
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx http://secure-link597.in
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Axis Urgent! Click now or lose access. http://secure-link885.in"
spam,Papa accident. Transfer Rs.5000 urgently to this number. http://secure-link799.in
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxHDFC Urgent! Click now or lose access.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxAxis Urgent! Click now or lose access. http://secure-link938.in
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx http://secure-link990.in
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postUnion Urgent! Click now or lose access.
ham,Amazon order #AMZ56918 delivered successfully. Rate now.
ham,Swiggy order on the way ETA 15 min
ham,Your Google verification code is 96542. Never share.
spam,"Dear customer, your Axis account will be blocked today. Update KYC immediately: bit.ly/257. Do not ignore!"
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifySBI
spam,Amazon delivery failed. Call 1800SBI or order cancelled.
spam,Amazon delivery failed. Call 1800Axis or order cancelled. Urgent! Click now or lose access. http://secure-link186.in
ham,Your Google verification code is 70813. Never share.
ham,UPI payment successful Rs.299
ham,Amazon order #AMZ26954 delivered successfully. Rate now.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftAxis (malware risk) Urgent! Click now or lose access.
spam,Traffic challan Rs.Union. Pay or vehicle seized: paytm.me/ch147 Urgent! Click now or lose access.
ham,Happy Birthday bhai 🎉
spam,"Dear customer, your Union account will be blocked today. Update KYC immediately: bit.ly/576. Do not ignore! Urgent! Click now or lose access."
spam,Traffic challan Rs.HDFC. Pay or vehicle seized: paytm.me/ch343
ham,Flipkart: Your package will arrive tomorrow.
ham,Flipkart: Your package will arrive tomorrow.
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx http://secure-link865.in
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx Urgent! Click now or lose access.
spam,"Dear customer, your HDFC account will be blocked today. Update KYC immediately: bit.ly/229. Do not ignore! Urgent! Click now or lose access."
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyHDFC Urgent! Click now or lose access. http://secure-link123.in
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Axis Urgent! Click now or lose access."
spam,Amazon delivery failed. Call 1800HDFC or order cancelled. http://secure-link701.in
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 http://secure-link909.in
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242
spam,Electricity bill overdue Rs.HDFC. Pay now or power cut: pay.bill562.in Urgent! Click now or lose access.
ham,OTP for Paytm login: 53811. Do not share.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Happy Birthday bhai 🎉
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifySBI http://secure-link850.in
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyAxis http://secure-link572.in
spam,New Year reward ₹1000 from Jio. Claim gift link
spam,Traffic challan Rs.HDFC. Pay or vehicle seized: paytm.me/ch133 Urgent! Click now or lose access. http://secure-link435.in
spam,"Dear customer, your Axis account will be blocked today. Update KYC immediately: bit.ly/437. Do not ignore! Urgent! Click now or lose access."
ham,Flipkart: Your package will arrive tomorrow.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Amazon delivery failed. Call 1800Union or order cancelled. http://secure-link963.in
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx
spam,"Dear customer, your Axis account will be blocked today. Update KYC immediately: bit.ly/523. Do not ignore!"
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankHDFC.in
spam,Papa accident. Transfer Rs.5000 urgently to this number.
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftHDFC (malware risk) Urgent! Click now or lose access.
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx http://secure-link584.in
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankAxis.in Urgent! Click now or lose access.
ham,Swiggy order on the way ETA 15 min
spam,Amazon delivery failed. Call 1800SBI or order cancelled.
ham,Meeting postponed to tomorrow
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Happy Birthday bhai 🎉
spam,Papa accident. Transfer Rs.5000 urgently to this number. http://secure-link611.in
spam,New Year reward ₹1000 from Jio. Claim gift link bit.ly/urgent
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx Urgent! Click now or lose access.
spam,Income tax refund ₹25000 pending. Share PAN now
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx
spam,🎉 Congratulations! You won ₹SBI lakh. Claim now: goo.gl/claim406 Share bank details http://secure-link427.in
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxAxis http://secure-link735.in
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx http://secure-link466.in
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobSBI http://secure-link937.in
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobAxis
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyUnion Urgent! Click now or lose access.
ham,Amazon order #AMZ75401 delivered successfully. Rate now.
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankSBI.in http://secure-link335.in
spam,"Dear customer, your Axis account will be blocked today. Update KYC immediately: bit.ly/374. Do not ignore!"
ham,Amazon order #AMZ41345 delivered successfully. Rate now.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxUnion
ham,Your Google verification code is 99241. Never share.
spam,Electricity bill overdue Rs.Axis. Pay now or power cut: pay.bill243.in Urgent! Click now or lose access. http://secure-link274.in
ham,Amazon order #AMZ20265 delivered successfully. Rate now.
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobAxis http://secure-link742.in
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,🎉 Congratulations! You won ₹HDFC lakh. Claim now: goo.gl/claim918 Share bank details Urgent! Click now or lose access.
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postAxis
ham,Bro where are you?
spam,KYC registration of random person detected on your number. Verify: link
spam,Device infected! Call Microsoft 1800Union now to fix. http://secure-link903.in
ham,Meeting at 4PM today bro. Confirm?
ham,Your Google verification code is 44498. Never share.
ham,Flipkart: Your package will arrive tomorrow.
spam,Your device has virus. Install this app to clean bit.ly/urgent
ham,OTP for Paytm login: 53662. Do not share.
ham,OTP for Paytm login: 59160. Do not share.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postHDFC Urgent! Click now or lose access.
ham,Your Google verification code is 69629. Never share.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winUnion Urgent! Click now or lose access.
ham,Your Google verification code is 20871. Never share.
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx Urgent! Click now or lose access. http://secure-link913.in
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Amazon delivery failed. Call 1800Union or order cancelled. http://secure-link161.in
spam,Income tax refund ₹25000 pending. Share PAN now
ham,Bro where are you?
spam,🎉 Congratulations! You won ₹HDFC lakh. Claim now: goo.gl/claim597 Share bank details http://secure-link369.in
spam,Device infected! Call Microsoft 1800Axis now to fix. Urgent! Click now or lose access. http://secure-link614.in
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobAxis
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postHDFC Urgent! Click now or lose access.
spam,"Dear customer, your SBI account will be blocked today. Update KYC immediately: bit.ly/471. Do not ignore!"
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftSBI (malware risk) Urgent! Click now or lose access.
ham,Airtel Thanks: Bill paid Rs.499.
ham,Flipkart: Your package will arrive tomorrow.
ham,Flipkart: Your package will arrive tomorrow.
spam,🎉 Congratulations! You won ₹SBI lakh. Claim now: goo.gl/claim825 Share bank details http://secure-link449.in
ham,Airtel Thanks: Bill paid Rs.499.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Happy Birthday bhai 🎉
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobUnion
ham,Amazon order #AMZ42215 delivered successfully. Rate now.
ham,Meeting at 4PM today bro. Confirm?
ham,Airtel Thanks: Bill paid Rs.499.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242
ham,Happy Birthday bhai 🎉
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,OTP for Paytm login: 76013. Do not share.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifySBI Urgent! Click now or lose access. http://secure-link193.in
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800SBI http://secure-link990.in"
ham,Amazon order #AMZ45054 delivered successfully. Rate now.
ham,Your Google verification code is 98882. Never share.
spam,🎉 Congratulations! You won ₹HDFC lakh. Claim now: goo.gl/claim484 Share bank details
ham,Airtel Thanks: Bill paid Rs.499.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyHDFC
ham,Bro where are you?
ham,Airtel Thanks: Bill paid Rs.499.
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankUnion.in http://secure-link392.in
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winHDFC
ham,Amazon order #AMZ53573 delivered successfully. Rate now.
spam,🎉 Congratulations! You won ₹Axis lakh. Claim now: goo.gl/claim308 Share bank details Urgent! Click now or lose access. http://secure-link193.in
ham,Happy Birthday bhai 🎉
ham,Flipkart: Your package will arrive tomorrow.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Your Google verification code is 68530. Never share.
ham,Your Google verification code is 73973. Never share.
ham,OTP for Paytm login: 87980. Do not share.
spam,Amazon delivery failed. Call 1800Axis or order cancelled. Urgent! Click now or lose access. http://secure-link574.in
ham,Your Google verification code is 34556. Never share.
ham,Airtel Thanks: Bill paid Rs.499.
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftAxis (malware risk)
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifySBI
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobAxis Urgent! Click now or lose access. http://secure-link557.in
spam,Amazon delivery failed. Call 1800Union or order cancelled. http://secure-link319.in
ham,Your Google verification code is 69247. Never share.
spam,Amazon delivery failed. Call 1800Axis or order cancelled. http://secure-link990.in
ham,Airtel Thanks: Bill paid Rs.499.
ham,Your Google verification code is 99583. Never share.
ham,Happy Birthday bhai 🎉
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Union Urgent! Click now or lose access. http://secure-link724.in"
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxUnion Urgent! Click now or lose access.
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobSBI
ham,Meeting postponed to tomorrow
spam,"Dear customer, your SBI account will be blocked today. Update KYC immediately: bit.ly/921. Do not ignore!"
spam,Traffic challan Rs.Axis. Pay or vehicle seized: paytm.me/ch186
ham,Meeting postponed to tomorrow
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Airtel Thanks: Bill paid Rs.499.
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftSBI (malware risk)
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 http://secure-link374.in
ham,Meeting at 4PM today bro. Confirm?
ham,Airtel Thanks: Bill paid Rs.499.
ham,Airtel Thanks: Bill paid Rs.499.
ham,Flipkart: Your package will arrive tomorrow.
ham,Flipkart: Your package will arrive tomorrow.
ham,Meeting at 4PM today bro. Confirm?
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifySBI http://secure-link670.in
ham,Meeting postponed to tomorrow
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyHDFC http://secure-link787.in
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winUnion Urgent! Click now or lose access.
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx Urgent! Click now or lose access. http://secure-link381.in
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Bro where are you?
ham,Meeting at 4PM today bro. Confirm?
spam,Traffic challan Rs.Union. Pay or vehicle seized: paytm.me/ch548 http://secure-link801.in
ham,Amazon order #AMZ90440 delivered successfully. Rate now.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxUnion http://secure-link872.in
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankUnion.in Urgent! Click now or lose access. http://secure-link445.in
ham,Flipkart: Your package will arrive tomorrow.
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobUnion
ham,Airtel Thanks: Bill paid Rs.499.
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankAxis.in
ham,Airtel Thanks: Bill paid Rs.499.
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winHDFC
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyUnion http://secure-link305.in
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Your device has virus. Install this app to clean bit.ly/urgent
spam,Device infected! Call Microsoft 1800Union now to fix. http://secure-link201.in
ham,Happy Birthday bhai 🎉
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Device infected! Call Microsoft 1800HDFC now to fix. Urgent! Click now or lose access. http://secure-link344.in
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftUnion (malware risk) Urgent! Click now or lose access.
ham,Airtel Thanks: Bill paid Rs.499.
ham,Airtel Thanks: Bill paid Rs.499.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,OTP for Paytm login: 20095. Do not share.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyAxis
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Electricity bill overdue Rs.Union. Pay now or power cut: pay.bill963.in
ham,Amazon order #AMZ80465 delivered successfully. Rate now.
ham,Swiggy order on the way ETA 15 min
ham,Airtel Thanks: Bill paid Rs.499.
spam,Amazon delivery failed. Call 1800SBI or order cancelled. Urgent! Click now or lose access. http://secure-link968.in
spam,Income tax refund ₹25000 pending. Share PAN now
spam,🎉 Congratulations! You won ₹Union lakh. Claim now: goo.gl/claim512 Share bank details Urgent! Click now or lose access.
ham,Flipkart: Your package will arrive tomorrow.
ham,Happy Birthday bhai 🎉
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankHDFC.in Urgent! Click now or lose access.
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winAxis
ham,Swiggy order on the way ETA 15 min
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winAxis
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftUnion (malware risk)
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxAxis Urgent! Click now or lose access.
spam,🎉 Congratulations! You won ₹Axis lakh. Claim now: goo.gl/claim144 Share bank details http://secure-link554.in
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postHDFC
ham,Amazon order #AMZ58059 delivered successfully. Rate now.
ham,OTP for Paytm login: 88612. Do not share.
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Axis Urgent! Click now or lose access."
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Airtel Thanks: Bill paid Rs.499.
ham,Happy Birthday bhai 🎉
spam,Device infected! Call Microsoft 1800HDFC now to fix. Urgent! Click now or lose access. http://secure-link541.in
spam,Electricity bill overdue Rs.SBI. Pay now or power cut: pay.bill563.in
ham,Airtel Thanks: Bill paid Rs.499.
spam,Papa accident. Transfer Rs.5000 urgently to this number. Urgent! Click now or lose access.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Meeting at 4PM today bro. Confirm?
spam,New Year reward ₹1000 from Jio. Claim gift link
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx
spam,Amazon delivery failed. Call 1800SBI or order cancelled. http://secure-link999.in
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Happy Birthday bhai 🎉
spam,"Dear customer, your Axis account will be blocked today. Update KYC immediately: bit.ly/374. Do not ignore!"
spam,Electricity bill overdue Rs.SBI. Pay now or power cut: pay.bill845.in
spam,KYC registration of random person detected on your number. Verify: link bit.ly/urgent
spam,Electricity bill overdue Rs.HDFC. Pay now or power cut: pay.bill158.in
spam,🎉 Congratulations! You won ₹HDFC lakh. Claim now: goo.gl/claim916 Share bank details
spam,"Dear customer, your SBI account will be blocked today. Update KYC immediately: bit.ly/897. Do not ignore!"
spam,Traffic challan Rs.SBI. Pay or vehicle seized: paytm.me/ch504 Urgent! Click now or lose access. http://secure-link165.in
ham,Your Google verification code is 84092. Never share.
ham,Flipkart: Your package will arrive tomorrow.
ham,Airtel Thanks: Bill paid Rs.499.
spam,"Dear customer, your HDFC account will be blocked today. Update KYC immediately: bit.ly/896. Do not ignore!"
spam,Device infected! Call Microsoft 1800Union now to fix. http://secure-link651.in
spam,Amazon delivery failed. Call 1800HDFC or order cancelled. http://secure-link614.in
spam,Electricity bill overdue Rs.HDFC. Pay now or power cut: pay.bill438.in
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 http://secure-link816.in
ham,UPI payment successful Rs.299
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobUnion
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
